"id","code","name","parent_id/id","type","user_type/id","reconcile"
"l10n_tn.pcg_45382","45382","Charges sociales sur congés à payer","l10n_tn.pcg_4538","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_45386","45386","Autres charges à payer","l10n_tn.pcg_4538","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_45387","45387","Produits à recevoir","l10n_tn.pcg_4538","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_454","454","Dettes sur acquisitions de valeurs mobilières de placement","l10n_tn.pcg_45","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_455","455","Créances sur cessions de valeurs mobilières de placement","l10n_tn.pcg_45","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_457","457","Autres comptes débiteurs ou créditeurs","l10n_tn.pcg_45","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_458","458","Diverses charges à payer et produits à recevoir","l10n_tn.pcg_45","view","account.data_account_type_view","False"
"l10n_tn.pcg_4586","4586","Charges à payer","l10n_tn.pcg_458","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4587","4587","Produits à recevoir","l10n_tn.pcg_458","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_46","46","Comptes transitoires ou d'attente","l10n_tn.pcg_4","view","account.data_account_type_view","False"
"l10n_tn.pcg_461","461","Compte d'attente","l10n_tn.pcg_46","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_465","465","Différence de conversion sur éléments courants","l10n_tn.pcg_46","view","account.data_account_type_view","False"
"l10n_tn.pcg_4651","4651","Différences de conversion actif","l10n_tn.pcg_465","view","account.data_account_type_view","True"
"l10n_tn.pcg_46511","46511","Diminution des créances","l10n_tn.pcg_4651","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_46512","46512","Augmentation des dettes","l10n_tn.pcg_4651","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_46518","46518","Différences compensées par couverture de change","l10n_tn.pcg_4651","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_4652","4652","Différences de conversion passif","l10n_tn.pcg_4651","view","account.data_account_type_view","True"
"l10n_tn.pcg_46521","46521","Augmentation des créances","l10n_tn.pcg_4652","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_46522","46522","Augmentation des créances","l10n_tn.pcg_4652","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_46528","46528","Différences compensées par couverture de change","l10n_tn.pcg_4652","Regular","account.data_account_type_liability","True"
